Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary,Name-additional
33,J.T. Realmuto,31,PHI,562,378,88,6.2,93,0.318,0.276,0.243,0.342,0.314,0.478,0.398,0.82,0.712,129,0.656,19.2,1.9,0.845,0.323,0.202,21.5,*2/H3D,realmjt01
34,Vladimir Guerrero Jr.,23,TOR,706,496,97,5.2,90,0.289,0.274,0.243,0.339,0.309,0.48,0.392,0.818,0.701,132,0.595,26.4,2.7,0.768,0.304,0.205,12.8,*3D/H5,guerrvl02
35,Brandon Nimmo*,29,NYM,673,438,97,5.9,90,0.317,0.274,0.239,0.367,0.309,0.433,0.391,0.8,0.699,130,0.636,25.3,2.5,0.789,0.283,0.159,5.1,*8,nimmobr01
36,Ty France,27,SEA,613,423,79,5,86,0.296,0.274,0.237,0.338,0.303,0.436,0.383,0.774,0.686,125,0.574,18.8,1.9,0.708,0.225,0.162,0,*3/D5H4,francty01
37,J.D. Martinez,34,BOS,596,412,79,5.1,97,0.345,0.274,0.251,0.341,0.319,0.448,0.406,0.79,0.725,117,0.586,13.8,1.4,0.727,0.272,0.174,0,*D,martijd02
38,Shohei Ohtani*,27,LAA,666,444,109,6.5,92,0.32,0.273,0.245,0.356,0.312,0.519,0.395,0.875,0.707,145,0.69,35,3.5,0.889,0.372,0.246,16.6,*D1/H,ohtansh01
39,Austin Riley,25,ATL,693,464,115,6.6,95,0.315,0.273,0.245,0.349,0.316,0.528,0.401,0.878,0.718,142,0.682,34.7,3.5,0.872,0.351,0.255,3.8,*5/3H,rileyau01
40,Pete Alonso,27,NYM,685,462,108,6.2,90,0.279,0.271,0.239,0.352,0.309,0.518,0.391,0.869,0.699,146,0.658,37.7,3.8,0.868,0.365,0.246,8.9,*3D,alonspe01
41,Ian Happ#,27,CHC,641,437,87,5.3,93,0.336,0.271,0.243,0.342,0.314,0.44,0.398,0.781,0.712,119,0.59,16.1,1.6,0.751,0.279,0.169,11.8,*7D/H8,happia01
42,Andrew Vaughn,24,CHW,555,390,69,4.7,93,0.301,0.271,0.246,0.321,0.313,0.429,0.397,0.75,0.71,111,0.55,6.8,0.7,0.673,0.22,0.159,0,97D3/H4,vaughan01
43,Francisco Lindor#,28,NYM,706,484,98,5.4,90,0.301,0.27,0.239,0.339,0.309,0.449,0.391,0.788,0.699,125,0.597,20.6,2.1,0.771,0.289,0.179,19.8,*6/D,lindofr01
44,Mookie Betts,29,LAD,639,432,107,6.6,98,0.272,0.269,0.249,0.34,0.321,0.533,0.408,0.873,0.73,136,0.682,27.7,2.8,0.888,0.378,0.264,17.9,*9/4HD,bettsmo01
45,Josh Rojas*,28,ARI,510,344,67,5.2,91,0.323,0.269,0.241,0.349,0.311,0.391,0.394,0.739,0.706,111,0.579,8.5,0.9,0.757,0.291,0.122,12.9,54/HD,rojasjo01
46,George Springer,32,TOR,583,390,87,5.9,90,0.285,0.267,0.242,0.342,0.309,0.472,0.392,0.814,0.701,131,0.652,20.8,2.1,0.823,0.333,0.205,17.9,8D9/H,springe01
47,Teoscar Hernández,29,TOR,535,387,71,4.9,90,0.335,0.267,0.243,0.316,0.309,0.491,0.392,0.807,0.701,127,0.566,16.6,1.7,0.742,0.299,0.224,9.7,*9D/7H,hernate01
48,Josh Bell#,29,TOT,647,434,85,5.2,88,0.296,0.266,0.236,0.362,0.305,0.422,0.386,0.784,0.691,128,0.582,23.9,2.4,0.745,0.301,0.156,0,*3D/H,belljo02
49,Mark Canha,33,NYM,542,347,75,5.7,90,0.309,0.266,0.239,0.367,0.309,0.403,0.391,0.77,0.699,122,0.625,16.9,1.7,0.773,0.245,0.136,4.9,*7H8/9D35,canhama01
50,Ronald Acuna Jr.,24,ATL,533,365,71,5.2,95,0.331,0.266,0.245,0.351,0.316,0.413,0.402,0.764,0.718,114,0.579,10.1,1,0.787,0.3,0.148,19.8,9D/H8,acunaro01
51,Brendan Rodgers,25,COL,581,417,65,4.1,103,0.304,0.266,0.257,0.325,0.33,0.408,0.42,0.733,0.75,96,0.478,-3.1,-0.3,0.641,0.23,0.142,0,*4/D,rodgebr02
52,Tommy Edman#,27,STL,630,439,79,4.8,89,0.308,0.265,0.237,0.324,0.307,0.4,0.389,0.725,0.696,108,0.544,6.3,0.6,0.719,0.265,0.135,18.5,46/5H98,edmanto01
53,Luis Rengifo#,25,LAA,511,374,59,4.2,92,0.285,0.264,0.245,0.294,0.312,0.429,0.395,0.724,0.707,103,0.498,-0.6,-0.1,0.635,0.209,0.166,8.9,456/H97,rengilu01
54,Charlie Blackmon*,35,COL,577,408,69,4.5,103,0.304,0.264,0.257,0.314,0.33,0.419,0.42,0.733,0.75,95,0.516,-5.4,-0.5,0.663,0.221,0.155,6.4,D9/H,blackch02
55,Randy Arozarena,27,TBR,645,463,83,4.8,86,0.325,0.263,0.237,0.327,0.303,0.445,0.383,0.773,0.686,124,0.556,18.9,1.9,0.759,0.295,0.183,24.6,*7D9/H,arozara01
56,Brandon Drury,29,TOT,568,397,82,5.5,96,0.293,0.263,0.247,0.32,0.319,0.492,0.405,0.813,0.724,122,0.606,14.6,1.5,0.771,0.301,0.23,3.7,534D/H69,drurybr01
57,Nick Castellanos,30,PHI,558,404,60,3.9,93,0.326,0.263,0.243,0.305,0.314,0.389,0.398,0.694,0.712,95,0.457,-4.5,-0.5,0.604,0.193,0.126,9.1,*9D/7H,casteni01
58,Bryan Reynolds#,27,PIT,614,418,87,5.5,93,0.306,0.262,0.243,0.345,0.314,0.461,0.398,0.807,0.712,126,0.609,18.4,1.9,0.786,0.31,0.199,11.1,*8D/7H,reynobr01
59,DJ LeMahieu,33,NYY,541,363,65,4.8,91,0.285,0.261,0.244,0.357,0.311,0.377,0.394,0.734,0.704,111,0.556,8.7,0.9,0.697,0.261,0.116,6,543/HD,lemahdj01
60,Isiah Kiner-Falefa,27,NYY,531,382,51,3.6,91,0.296,0.261,0.244,0.314,0.311,0.327,0.394,0.642,0.704,84,0.422,-9.4,-1,0.588,0.176,0.066,6.8,*6/5H,kineris01
61,Will Smith,27,LAD,578,391,82,5.6,98,0.276,0.26,0.249,0.343,0.321,0.465,0.408,0.807,0.73,120,0.612,14.3,1.4,0.783,0.317,0.205,1.9,*2D/H,smithwi05
62,Thairo Estrada,26,SFG,541,383,65,4.5,93,0.29,0.26,0.243,0.322,0.314,0.4,0.398,0.722,0.712,103,0.518,2.1,0.2,0.698,0.238,0.139,16.8,467H/58,estrath01
63,Alex Bregman,28,HOU,656,436,94,5.7,91,0.26,0.259,0.244,0.366,0.311,0.454,0.394,0.82,0.704,133,0.637,28.9,2.9,0.817,0.352,0.195,1.9,*5/H,bregmal01
